Library, ,Parts,Description,Value,Package,SORT
GMSN,2,"R9, R13",Resistor,100K,R0805,2
GMSN,1,R3,Resistor,10K,R0805,2
GMSN,4,"R1, R2, R14, R15",Resistor,1K,R0805,2
GMSN,1,R5,Resistor,200K,R0805,2
GMSN,1,R4,Resistor,22K,R0805,2
GMSN,1,R8,Resistor,22K***,R0805,2
GMSN,1,R7,Resistor,2M,R0805,2
GMSN,1,R11,Resistor,39K***,R0805,2
GMSN,2,"R6, R10",Resistor,56K,R0805,2
GMSN,1,R12,Resistor,5K6***,R0805,2
GMSN,1,C5,Capacitor,0.01u,C0805,3
GMSN,4,"C10, C11, C12, C13",Capacitor,0.1u,C0805,3
GMSN,1,C9,Capacitor,0.22uF***,C0805,3
GMSN,2,"C6, C7",Capacitor,1000p,C0805,3
GMSN,1,C3,Capacitor,10u,C0805,3
GMSN,2,"C4, C8",Capacitor,1u,C0805,3
GMSN,2,"C1, C2",Electro Capacitor,10u,153CLV-0505,3
GMSN,2,"D1, D2",Diode,,SMADIODE,3.9
GMSN,1,T1,NPN Transistor Matched Pair,TRANSISTOR_PAIR_NPN,TRANS_PAIR,4
GMSN,1,IC3,Dual Op Amp,OPAMP_DUALD,SO08,4.5
GMSN,1,IC4,OP AMP,OPAMP_QUADD,SO14,4.5
GMSN,1,JP1,Header 5x2,HEADER2X5SHD,2X5-SHROUDED,7
GMSN,1,TR1,Pot,100K,TRIMMER_TH,7
GMSN,4,"BLUE, PINK, RED, WHITE",3.5 mm Jack Socket,SOCKET_MONO_3.5MMPJ301M-12,PJ301M-12,8
